0.25960,0.06802,0.18125,1.25273,0.36310,1.73314,0.89746,0.74529,0.74573,0.62413
1.66575,2.00000,0.21874,6.00000,1.37075,10.00000,1.34218,14.00000,1.86825,18.00000
1.37383,4.00000,1.99528,12.00000,1.37173,20.00000,1.55464,28.00000,1.38732,36.00000
0.99379,6.00000,1.00899,18.00000,1.92262,30.00000,0.86660,42.00000,1.40809,54.00000
0.81805,8.00000,1.29233,24.00000,1.26457,40.00000,1.94153,56.00000,0.02529,72.00000
0.12555,10.00000,0.63913,30.00000,0.91473,50.00000,0.49748,70.00000,1.44342,90.00000
1.86157,12.00000,0.48554,36.00000,1.08727,60.00000,0.75669,84.00000,1.39801,108.00000
0.46371,14.00000,1.33381,42.00000,0.63311,70.00000,1.70665,98.00000,0.23167,126.00000
1.52885,16.00000,0.37181,48.00000,1.86441,80.00000,0.75637,112.00000,1.47559,144.00000
1.36491,18.00000,1.02120,54.00000,1.85855,90.00000,0.13416,126.00000,0.77515,162.00000
